metric,comparison_type,comparison_value,test_type,statistic,p_value,effect_size,mean_group1,mean_group2,std_group1,std_group2,n_group1,n_group2,is_normal_group1,is_normal_group2,p_adj
higuchi_fd,genre,classical,Mann-Whitney U,69272.0,3.1196486860068816e-12,0.4282886597938144,1.772756735420258,1.7232179612367986,0.065011005238201,0.0703294753841119,97,1000,False,False,2.7036955278726305e-11
higuchi_fd,genre,reggae,Mann-Whitney U,34014.0,1.5805059772822854e-07,-0.3176730190571715,1.7000912686584362,1.7303573096356268,0.053332483724229544,0.07225767778073253,100,997,True,False,8.933294654204221e-07
higuchi_fd,genre,hip-hop,Mann-Whitney U,35311.0,1.4830541826656631e-06,-0.29165496489468407,1.6916011229142571,1.7312088789178914,0.07783957493500389,0.06956463011448379,100,997,False,False,7.415270913328316e-06
higuchi_fd,genre,metal,Mann-Whitney U,63263.0,8.966594097319535e-06,0.26906720160481445,1.7546716753708922,1.7248828455721912,0.05818565751390666,0.0718992345443363,100,997,False,False,3.532294644398605e-05
higuchi_fd,genre,pop,Mann-Whitney U,39076.0,0.0003611413711182033,-0.2161283851554664,1.7026544238619132,1.7301002228549371,0.07554913495412222,0.07034781853096557,100,997,False,False,0.0011126909482149032
higuchi_fd,genre,disco,Mann-Whitney U,56495.0,0.027813541491480256,0.13329989969909728,1.740359343740459,1.7263183853545816,0.06694343482374218,0.0715716725739579,100,997,False,False,0.05317294696900637
higuchi_fd,genre,acoustic,Mann-Whitney U,44086.0,0.05636293654897419,-0.11562688064192578,1.71824537853041,1.7285364360276056,0.06543665106665143,0.07176927352323158,100,997,True,False,0.0976957566848886
higuchi_fd,mode,0,Mann-Whitney U,126714.5,0.020906305437006424,-0.08400922391857506,1.7201022196869742,1.7317829435164527,0.07327125090098185,0.06978961918525514,393,704,False,False,0.041179086466830835
higuchi_fd,mode,1,Mann-Whitney U,149957.5,0.020906305437006424,0.08400922391857506,1.7317829435164527,1.7201022196869742,0.06978961918525514,0.07327125090098185,704,393,False,False,0.041179086466830835
higuchi_fd,genre,country,Mann-Whitney U,52912.5,0.3106840074271183,0.06143430290872618,1.7366767706670123,1.7266877507581369,0.058964466748791786,0.07233356041133034,100,997,True,False,0.4079688986416706
higuchi_fd,genre,blues,Mann-Whitney U,52542.0,0.37286471181787073,0.05400200601805416,1.7321575568057617,1.7271410319879514,0.06381651942737505,0.07196660650981664,100,997,False,False,0.4706059469545941
higuchi_fd,genre,rock,Mann-Whitney U,51583.0,0.5662331619958352,0.03476429287863591,1.7336511540927326,1.7269912228317856,0.06462831654654363,0.07188174122998336,100,997,False,False,0.6668758839758968
higuchi_fd,genre,jazz,Mann-Whitney U,48445.5,0.6420418252445186,-0.028174523570712137,1.7220709177261115,1.7281527309929312,0.08567240190083059,0.06964488752725384,100,997,False,False,0.7257864111459775
